0.3242187500,0.4257812500,0.3867187500,0.4648437500,0.9726562500,0.1445312500
0.5898437500,0.0742187500,0.3242187500,0.2695312500,0.5664062500,0.4960937500
0.8789062500,0.8554687500,0.4414062500,0.3867187500,0.4570312500,0.7851562500
0.0742187500,0.3945312500,0.7226562500,0.9492187500,0.9882812500,0.7773437500
0.5976562500,0.9257812500,0.1601562500,0.6367187500,0.6054687500,0.9023437500
0.2148437500,0.8867187500,0.0351562500,0.4570312500,0.7304687500,0.8789062500
0.1132812500,0.9335937500,0.2773437500,0.3242187500,0.2851562500,0.5820312500
0.9960937500,0.4804687500,0.5664062500,0.7929687500,0.3632812500,0.3476562500
0.2929687500,0.3789062500,0.0273437500,0.1601562500,0.8789062500,0.2148437500
0.2070312500,0.3320312500,0.2070312500,0.1445312500,0.2617187500,0.9882812500
0.8007812500,0.4335937500,0.6757812500,0.2773437500,0.5195312500,0.1523437500
0.3007812500,0.6210937500,0.5742187500,0.8632812500,0.4492187500,0.7148437500
0.7773437500,0.1445312500,0.3789062500,0.9960937500,0.5351562500,0.7460937500
0.4101562500,0.3476562500,0.6289062500,0.9648437500,0.0664062500,0.3867187500
0.1367187500,0.9570312500,0.7304687500,0.0351562500,0.4726562500,0.1992187500
0.6992187500,0.0664062500,0.5195312500,0.9726562500,0.9101562500,0.0195312500
0.7539062500,0.6835937500,0.8554687500,0.4882812500,0.6445312500,0.8476562500
0.3085937500,0.8007812500,0.7539062500,0.6914062500,0.0429687500,0.5664062500
0.1210937500,0.6367187500,0.7460937500,0.4101562500,0.1289062500,0.7539062500
0.7617187500,0.7460937500,0.1054687500,0.1289062500,0.4335937500,0.3789062500
0.9101562500,0.8789062500,0.8320312500,0.5820312500,0.1992187500,0.9570312500
0.5273437500,0.7382812500,0.8085937500,0.8945312500,0.2695312500,0.7929687500
0.6132812500,0.5742187500,0.3320312500,0.9179687500,0.9570312500,0.8554687500
0.0820312500,0.6054687500,0.0117187500,0.2070312500,0.9960937500,0.4570312500
0.9335937500,0.5429687500,0.0742187500,0.4023437500,0.6210937500,0.2539062500
0.5351562500,0.3867187500,0.1757812500,0.1992187500,0.1445312500,0.0273437500
0.6210937500,0.0351562500,0.5273437500,0.3945312500,0.1523437500,0.2070312500
0.8554687500,0.7226562500,0.8945312500,0.0742187500,0.1601562500,0.5039062500
0.6679687500,0.2382812500,0.8398437500,0.6445312500,0.3710937500,0.6132812500
0.9492187500,0.3085937500,0.9414062500,0.6210937500,0.8164062500,0.2617187500
0.1289062500,0.3007812500,0.3632812500,0.2148437500,0.6523437500,0.0898437500
0.1992187500,0.9492187500,0.4023437500,0.5585937500,0.0898437500,0.2929687500
0.3632812500,0.5820312500,0.6914062500,0.7148437500,0.7539062500,0.1757812500
0.7148437500,0.5976562500,0.9804687500,0.8085937500,0.4023437500,0.9804687500
0.7695312500,0.2304687500,0.3554687500,0.3398437500,0.9179687500,0.2695312500
0.1601562500,0.8320312500,0.4882812500,0.5898437500,0.2929687500,0.0117187500
0.5117187500,0.6289062500,0.6523437500,0.1132812500,0.1835937500,0.4101562500
0.8242187500,0.3398437500,0.0507812500,0.8867187500,0.3007812500,0.1132812500
0.0117187500,0.4648437500,0.9179687500,0.5273437500,0.3476562500,0.5585937500
0.3945312500,0.1132812500,0.4648437500,0.8320312500,0.9257812500,0.7226562500
0.8320312500,0.2617187500,0.0195312500,0.5429687500,0.5117187500,0.9335937500
0.0273437500,0.8476562500,0.6132812500,0.0273437500,0.8945312500,0.9648437500
0.2460937500,0.0585937500,0.8867187500,0.1523437500,0.2382812500,0.1367187500
0.3789062500,0.4570312500,0.1132812500,0.6757812500,0.5429687500,0.5976562500
0.3320312500,0.9726562500,0.5507812500,0.1367187500,0.6992187500,0.8242187500
0.0585937500,0.2695312500,0.7929687500,0.1757812500,0.3320312500,0.2304687500
